id_bdq;foco_id;lat;lon;data_pas;pais;estado;municipio;bioma
 1523801236 ;b5b1b658-f84c-3bc5-b4a2-c54c46002f46;  -19.685000 ;  -40.151000 ;2020-12-31 16:15:00;Brasil;ESPÍRITO SANTO;ARACRUZ;Mata Atlântica
 1523801336 ;9119f240-c59c-3bf0-9be0-f485c19e6f9e;  -18.642000 ;  -39.819000 ;2020-12-31 16:15:00;Brasil;ESPÍRITO SANTO;CONCEIÇÃO DA BARRA;Mata Atlântica
 1523801366 ;e51f9614-4b49-3321-b19b-77e278150d7f;  -18.485000 ;  -39.803000 ;2020-12-31 16:15:00;Brasil;ESPÍRITO SANTO;CONCEIÇÃO DA BARRA;Mata Atlântica
 1523801312 ;34615c07-1826-3b1e-847c-c0f556555de1;  -18.464000 ;  -39.786000 ;2020-12-31 16:15:00;Brasil;ESPÍRITO SANTO;CONCEIÇÃO DA BARRA;Mata Atlântica
 1523801261 ;75351a94-63cd-358e-a24e-c5e4ea7a0f7a;  -18.566000 ;  -39.796000 ;2020-12-31 16:15:00;Brasil;ESPÍRITO SANTO;CONCEIÇÃO DA BARRA;Mata Atlântica
 1502000321 ;6aa1c743-8f68-375e-94e4-9b7189a795c7;  -19.053000 ;  -40.226000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;SOORETAMA;Mata Atlântica
 1502000320 ;01006918-9ffc-347a-9864-851515be001c;  -18.930000 ;  -40.131000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;JAGUARÉ;Mata Atlântica
 1502000319 ;90d90e56-68d5-3fab-936d-f5a9f164c65c;  -18.579000 ;  -40.544000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;NOVA VENÉCIA;Mata Atlântica
 1502000318 ;e565fbbc-6b5a-32c7-9ce4-4f973151dcd6;  -18.560000 ;  -40.103000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1412800488 ;2379eab1-0ee8-3687-a344-de5327cd7151;  -19.119000 ;  -39.743000 ;2020-01-12 16:30:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1412800482 ;7caed467-56d5-3e73-8a95-2856948f4c40;  -19.112000 ;  -39.764000 ;2020-01-12 16:30:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1412800481 ;3c44bb58-3836-367b-acf6-b309f5d8d868;  -19.111000 ;  -39.754000 ;2020-01-12 16:30:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1412800480 ;33766849-28d9-3ef0-9d9f-e9a2ccee09dc;  -19.102000 ;  -39.756000 ;2020-01-12 16:30:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1412800478 ;a6c4c174-8338-3543-8cfb-1478cbdc993e;  -18.816000 ;  -39.823000 ;2020-01-12 16:30:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1502000331 ;219ef353-734e-3c3e-bdd4-e556bd56524b;  -20.268000 ;  -41.036000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;DOMINGOS MARTINS;Mata Atlântica
 1502000325 ;780366bd-6021-3e56-8b8e-14ecbe988b6d;  -19.086000 ;  -40.139000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;SOORETAMA;Mata Atlântica
 1502000323 ;2f99f612-1305-34d2-923c-cc187d15a8eb;  -19.084000 ;  -40.688000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;ÁGUIA BRANCA;Mata Atlântica
 1502000322 ;2b0d9073-a9dc-304f-93f0-3842b5ad0d46;  -19.055000 ;  -40.237000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;SOORETAMA;Mata Atlântica
 1502000317 ;cbaa9538-037c-3738-b075-c3557c276b31;  -18.680000 ;  -40.624000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;VILA PAVÃO;Mata Atlântica
 1502000316 ;941173ae-97b3-37f5-b9ce-9c760c6814f2;  -18.559000 ;  -40.093000 ;2020-06-22 16:15:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1502380171 ;1f5689a0-ab56-3786-83d5-bc6a1f1031a7;  -18.628000 ;  -41.016000 ;2020-06-27 16:35:00;Brasil;ESPÍRITO SANTO;ÁGUA DOCE DO NORTE;Mata Atlântica
