id_bdq;foco_id;lat;lon;data_pas;pais;estado;municipio;bioma
 1666439369 ;28b5a348-fbe1-3446-aebb-fbf6581db6a9;  -18.493410 ;  -39.789090 ;2024-01-04 16:49:00;Brasil;ESPÍRITO SANTO;CONCEIÇÃO DA BARRA;Mata Atlântica
 1666439370 ;cbda05a6-4764-389b-8b8d-f331b01d92e1;  -18.484470 ;  -39.790520 ;2024-01-04 16:49:00;Brasil;ESPÍRITO SANTO;CONCEIÇÃO DA BARRA;Mata Atlântica
 1667374660 ;2b3d3c8f-0b7d-3e26-ab0d-5d3b72aa5e3c;  -19.070360 ;  -40.501520 ;2024-01-11 16:43:00;Brasil;ESPÍRITO SANTO;SÃO DOMINGOS DO NORTE;Mata Atlântica
 1667374661 ;a18c5e4c-6211-32d0-a6d6-de73aa2b7a47;  -18.669370 ;  -40.540490 ;2024-01-11 16:43:00;Brasil;ESPÍRITO SANTO;VILA PAVÃO;Mata Atlântica
 1667374666 ;5804e291-0775-3abf-8296-d0f83a868655;  -18.548540 ;  -39.782790 ;2024-01-11 16:43:00;Brasil;ESPÍRITO SANTO;CONCEIÇÃO DA BARRA;Mata Atlântica
 1667651153 ;bcfdd702-72fb-37a6-bcc5-731d47b5c4fc;  -18.411080 ;  -39.887920 ;2024-01-13 16:28:00;Brasil;ESPÍRITO SANTO;CONCEIÇÃO DA BARRA;Mata Atlântica
 1667651154 ;29feef6c-1e0e-3e29-b86b-65b8ade67df7;  -18.405210 ;  -39.895550 ;2024-01-13 16:28:00;Brasil;ESPÍRITO SANTO;CONCEIÇÃO DA BARRA;Mata Atlântica
 1668094156 ;dd49613c-bd71-38f5-b49f-6636a490bfcb;  -19.885190 ;  -40.387680 ;2024-01-16 16:54:00;Brasil;ESPÍRITO SANTO;IBIRAÇU;Mata Atlântica
 1668094157 ;fffa87d4-6e99-3d04-bc32-77ee0f9b3fbf;  -19.326500 ;  -39.716550 ;2024-01-16 16:54:00;Brasil;ESPÍRITO SANTO;LINHARES;Mata Atlântica
 1668094159 ;ca9ec12e-91c0-3d3a-8b3b-f6c6b9b378e9;  -19.325080 ;  -39.707030 ;2024-01-16 16:54:00;Brasil;ESPÍRITO SANTO;LINHARES;Mata Atlântica
 1668094160 ;83e9e554-6a43-3d3f-bd5a-47bf990c63c7;  -19.316100 ;  -39.708540 ;2024-01-16 16:54:00;Brasil;ESPÍRITO SANTO;LINHARES;Mata Atlântica
 1668094161 ;27c2f2fc-33af-320c-ad7b-1b393e7899ce;  -19.314680 ;  -39.699010 ;2024-01-16 16:54:00;Brasil;ESPÍRITO SANTO;LINHARES;Mata Atlântica
 1668094166 ;da17a763-4372-3b51-af68-9099f8454750;  -19.013860 ;  -40.793250 ;2024-01-16 16:54:00;Brasil;ESPÍRITO SANTO;ÁGUIA BRANCA;Mata Atlântica
